temperature,humidity,wind_speed,outfit
38,87,13,T-shirt and shorts
28,35,4,Summer dress
14,71,5,Light jacket
42,13,4,Tank top and shorts
7,51,14,Wool coat
20,27,11,Sweater
38,49,13,T-shirt and shorts
18,81,12,Light jacket
22,48,3,Summer dress
10,23,8,Wool coat
10,41,10,Wool coat
23,60,4,Summer dress
35,47,14,T-shirt and shorts
39,32,2,Tank top and shorts
23,72,2,Summer dress
2,24,1,Wool coat
21,34,13,Summer dress
1,26,4,Wool coat
23,75,10,Summer dress
43,87,9,Tank top and shorts
29,62,14,Summer dress
37,60,11,T-shirt and shorts
1,48,7,Wool coat
20,60,12,Sweater
32,79,10,T-shirt and shorts
11,15,7,Light jacket
21,76,13,Summer dress
43,16,7,Tank top and shorts
24,60,8,Summer dress
26,81,1,Summer dress
41,51,10,Tank top and shorts
27,73,13,Summer dress
15,24,10,Sweater
14,38,8,Light jacket
43,42,4,Tank top and shorts
2,36,4,Wool coat
36,45,4,Tank top and shorts
6,38,6,Wool coat
20,47,7,Sweater
8,66,6,Wool coat
38,36,1,T-shirt and shorts
17,64,12,Light jacket
3,42,8,Wool coat
24,77,13,Summer dress
13,75,10,Light jacket
8,19,11,Wool coat
25,14,13,Summer dress
1,83,7,Wool coat
19,47,6,Sweater
27,22,6,Summer dress
6,40,5,Wool coat
43,56,6,Tank top and shorts
7,61,12,Wool coat
34,65,9,T-shirt and shorts
13,24,10,Light jacket
16,38,9,Light jacket
35,17,10,T-shirt and shorts
39,14,8,Tank top and shorts
3,38,10,Wool coat
1,56,9,Wool coat
5,77,13,Wool coat
41,85,10,Tank top and shorts
3,54,8,Wool coat
28,11,8,Summer dress
17,36,1,Light jacket
25,45,10,Summer dress
43,45,11,Hot
33,35,5,Hot
9,52,4,Winter
35,36,2,Hot
13,78,8,Spring
30,29,3,Summer
14,20,4,Spring
7,83,12,Winter
13,47,7,Spring
22,15,10,Summer
39,81,9,Hot
20,32,2,Spring
15,56,3,Spring
44,55,4,Hot
17,21,10,Spring
23,22,1,Summer
25,71,7,Summer
24,69,2,Summer
44,52,5,Hot
40,85,1,Hot
28,77,3,Summer
14,14,12,Spring
44,46,2,Hot
0,81,1,Winter
24,40,7,Summer
6,18,5,Winter
8,60,1,Winter
23,38,6,Summer
0,87,5,Winter
43,49,3,Hot
7,50,12,Winter
23,20,7,Summer
10,32,11,Winter
16,10,10,Spring
7,55,9,Winter
34,30,14,Hot
34,45,13,Hot
32,63,13,Hot
4,66,9,Winter
41,10,14,Hot
38,72,9,Hot
40,63,2,Hot
27,64,3,Summer
6,49,7,Winter
8,24,5,Winter
7,30,2,Winter
11,56,3,Spring
33,82,10,Hot
32,62,6,Hot
